"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2020","37,385","37,417","37,613","37,157","1.17M","-0.52%"
"01/03/2020","37,580","38,134","38,362","37,548","2.37M","-1.45%"
"01/02/2020","38,134","37,157","38,134","37,059","2.15M","2.63%"
"12/31/2019","37,157","37,157","37,450","37,157","1.81M","0.00%"
"12/30/2019","37,157","36,994","37,319","36,896","1.85M","0.44%"
"12/27/2019","36,994","36,831","36,994","36,668","1.46M","0.18%"
"12/26/2019","36,928","37,124","37,124","36,537","1.85M","-0.53%"
"12/25/2019","37,124","36,374","37,124","36,276","1.64M","2.34%"
"12/24/2019","36,276","36,244","36,439","36,048","1.12M","0.27%"
"12/23/2019","36,179","36,407","36,570","36,179","1.28M","0.27%"
"12/20/2019","36,081","36,114","36,439","35,918","1.07M","0.64%"
"12/19/2019","35,853","35,788","36,114","35,364","1.14M","0.00%"
"12/18/2019","35,853","36,863","37,026","35,755","3.44M","-2.91%"
"12/17/2019","36,928","37,091","37,319","36,863","1.34M","0.09%"
"12/16/2019","36,896","36,505","36,896","36,342","1.33M","0.18%"
"12/13/2019","36,831","36,994","37,385","36,602","1.40M","-0.35%"
"12/12/2019","36,961","36,831","36,994","36,733","1.10M","0.35%"
"12/11/2019","36,831","36,016","36,831","35,951","944.13K","1.80%"
"12/10/2019","36,179","36,146","36,309","35,853","1.24M","0.09%"
"12/09/2019","36,146","36,114","36,374","35,853","1.58M","0.09%"
"12/06/2019","36,114","36,048","36,179","35,853","1.41M","0.18%"
"12/05/2019","36,048","36,896","36,994","36,048","1.63M","-2.13%"
"12/04/2019","36,831","35,527","36,831","35,396","1.72M","3.48%"
"12/03/2019","35,592","35,201","35,657","34,810","1.78M","0.74%"
"12/02/2019","35,331","35,657","35,788","35,331","1.93M","-0.55%"
"11/29/2019","35,527","35,527","35,527","34,745","2.74M","0.00%"
"11/28/2019","35,527","36,244","36,570","35,494","3.84M","-3.71%"
"11/27/2019","36,896","37,059","37,222","36,798","765.45K","-0.26%"
"11/26/2019","36,994","36,961","37,157","36,733","1.76M","1.34%"
"11/25/2019","36,505","36,733","36,765","35,233","1.86M","0.00%"
"11/22/2019","36,505","37,482","37,482","36,114","2.62M","-1.32%"
"11/21/2019","36,994","38,134","38,134","36,994","3.64M","-3.07%"
"11/20/2019","38,167","38,786","38,786","38,037","1.06M","-1.60%"
"11/19/2019","38,786","38,460","38,786","38,362","891.63K","1.02%"
"11/18/2019","38,395","38,656","38,949","38,297","1.03M","-0.59%"
"11/15/2019","38,623","38,134","38,623","38,069","1.43M","1.46%"
"11/14/2019","38,069","39,080","39,340","37,808","4.69M","-2.59%"
"11/13/2019","39,080","39,862","39,992","38,786","4.46M","-1.96%"
"11/12/2019","39,862","39,731","40,025","39,568","1.61M","0.33%"
"11/11/2019","39,731","40,677","40,677","39,731","3.22M","-2.17%"
"11/08/2019","40,611","40,872","40,872","40,220","2.38M","-0.56%"
"11/07/2019","40,840","40,840","41,035","40,644","1.36M","0.56%"
"11/06/2019","40,611","40,937","40,970","40,481","2.03M","-0.80%"
"11/05/2019","40,937","41,263","41,328","40,905","2.08M","-0.40%"
"11/04/2019","41,100","40,872","41,263","40,285","4.26M","0.72%"
"11/01/2019","40,807","40,611","41,003","40,025","2.41M","0.48%"
"10/31/2019","40,611","40,709","41,068","40,611","1.64M","-0.24%"
"10/30/2019","40,709","41,166","41,296","40,611","3.82M","-1.65%"
"10/29/2019","41,394","41,589","41,850","41,394","1.36M","-0.47%"
"10/28/2019","41,589","41,720","42,078","41,524","2.37M","-0.24%"
"10/25/2019","41,687","41,654","41,720","41,328","1.86M","0.31%"
"10/24/2019","41,557","40,155","41,557","40,155","4.65M","3.49%"
"10/23/2019","40,155","39,927","40,546","39,797","803.73K","0.08%"
"10/22/2019","40,123","40,090","40,123","39,699","849.33K","0.16%"
"10/21/2019","40,057","40,253","40,383","39,764","1.26M","0.00%"
